ticker,sector,date,price,YTD,fifty,twoh
MGLU3,ecommerce,1/2/2019,22.783854, -   ,,
MGLU3,ecommerce,1/3/2019,22.540028,-0.011,,
MGLU3,ecommerce,1/4/2019,21.854027,-0.041,,
MGLU3,ecommerce,1/7/2019,22.193306,-0.026,,
MGLU3,ecommerce,1/8/2019,22.014553,-0.034,,
MGLU3,ecommerce,1/9/2019,21.941051,-0.037,,
MGLU3,ecommerce,1/10/2019,22.154203,-0.028,,
MGLU3,ecommerce,1/11/2019,21.756029,-0.045,,
MGLU3,ecommerce,1/14/2019,21.927528,-0.038,,
MGLU3,ecommerce,1/15/2019,21.678902,-0.048,,
MGLU3,ecommerce,1/16/2019,21.437529,-0.059,,
MGLU3,ecommerce,1/17/2019,21.373827,-0.062,,
MGLU3,ecommerce,1/18/2019,21.339527,-0.063,,
MGLU3,ecommerce,1/21/2019,20.457525,-0.102,,
MGLU3,ecommerce,1/22/2019,19.8512,-0.129,,
MGLU3,ecommerce,1/23/2019,20.776028,-0.088,,
MGLU3,ecommerce,1/24/2019,20.516325,-0.1,,
MGLU3,ecommerce,1/28/2019,20.504076,-0.1,,
MGLU3,ecommerce,1/29/2019,21.817278,-0.042,,
MGLU3,ecommerce,1/30/2019,21.578354,-0.053,,
MGLU3,ecommerce,1/31/2019,21.936153,-0.037,,
MGLU3,ecommerce,2/1/2019,21.903028,-0.039,,
MGLU3,ecommerce,2/4/2019,21.691153,-0.048,,
MGLU3,ecommerce,2/5/2019,21.498777,-0.056,,
MGLU3,ecommerce,2/6/2019,20.788275,-0.088,,
MGLU3,ecommerce,2/7/2019,20.433027,-0.103,,
MGLU3,ecommerce,2/8/2019,20.825026,-0.086,,
MGLU3,ecommerce,2/11/2019,20.252998,-0.111,,
MGLU3,ecommerce,2/12/2019,20.188026,-0.114,,
MGLU3,ecommerce,2/13/2019,19.759275,-0.133,,
MGLU3,ecommerce,2/14/2019,20.909599,-0.082,,
MGLU3,ecommerce,2/15/2019,20.086399,-0.118,,
MGLU3,ecommerce,2/18/2019,20.646175,-0.094,,
MGLU3,ecommerce,2/19/2019,20.783377,-0.088,,
MGLU3,ecommerce,2/20/2019,19.906275,-0.126,,
MGLU3,ecommerce,2/21/2019,19.734776,-0.134,,
MGLU3,ecommerce,2/22/2019,21.792778,-0.043,,
MGLU3,ecommerce,2/25/2019,21.278276,-0.066,,
MGLU3,ecommerce,2/26/2019,21.866278,-0.04,,
MGLU3,ecommerce,2/27/2019,21.560026,-0.054,,
MGLU3,ecommerce,2/28/2019,21.248878,-0.067,,
MGLU3,ecommerce,3/1/2019,21.464478,-0.058,,
MGLU3,ecommerce,3/6/2019,21.022301,-0.077,,
MGLU3,ecommerce,3/7/2019,21.700853,-0.048,,
MGLU3,ecommerce,3/8/2019,22.15048,-0.028,,
MGLU3,ecommerce,3/11/2019,22.364902,-0.018,,
MGLU3,ecommerce,3/12/2019,21.909203,-0.038,,
MGLU3,ecommerce,3/13/2019,21.716827,-0.047,,
MGLU3,ecommerce,3/14/2019,21.621279,-0.051,,
MGLU3,ecommerce,3/15/2019,21.705851,-0.047,21.30479798,
MGLU3,ecommerce,3/18/2019,22.101479,-0.03,21.29115048,
MGLU3,ecommerce,3/19/2019,22.135778,-0.028,21.28306548,
MGLU3,ecommerce,3/20/2019,22.249754,-0.023,21.29098002,
MGLU3,ecommerce,3/21/2019,22.325603,-0.02,21.29362596,
MGLU3,ecommerce,3/22/2019,21.229277,-0.068,21.27792044,
MGLU3,ecommerce,3/25/2019,21.206051,-0.069,21.26322044,
MGLU3,ecommerce,3/26/2019,21.632254,-0.051,21.25278146,
MGLU3,ecommerce,3/27/2019,20.580027,-0.097,21.22926142,
MGLU3,ecommerce,3/28/2019,20.921753,-0.082,21.20914592,
MGLU3,ecommerce,3/29/2019,21.174202,-0.071,21.19905192,
MGLU3,ecommerce,4/1/2019,20.983002,-0.079,21.18996138,
MGLU3,ecommerce,4/2/2019,20.353352,-0.107,21.16955188,
MGLU3,ecommerce,4/3/2019,20.711151,-0.091,21.15698436,
MGLU3,ecommerce,4/4/2019,20.702526,-0.091,21.16188438,
MGLU3,ecommerce,4/5/2019,20.823851,-0.086,21.1813374,
MGLU3,ecommerce,4/8/2019,20.425676,-0.104,21.17433036,
MGLU3,ecommerce,4/9/2019,20.372952,-0.106,21.1714629,
MGLU3,ecommerce,4/10/2019,20.665777,-0.093,21.17469692,
MGLU3,ecommerce,4/11/2019,20.335026,-0.107,21.14505188,
MGLU3,ecommerce,4/12/2019,20.19175,-0.114,21.1173198,
